Label,Query
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué tipos de cartas hay en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántos tableros de viñedo incluye el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué hacen los trabajadores grandes?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué son las cartas de visitante y qué hacen?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántos meeples de trabajador hay en el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué representan los tokens de puntos de victoria?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué función cumplen los roosters en el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué recursos iniciales recibe cada jugador?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se configuran los tableros de los jugadores?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se asigna el primer jugador?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas se distribuyen al comienzo del juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué representa el tablero principal en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se colocan los trabajadores en el tablero?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si todos los espacios de acción están ocupados?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuál es la mejor estrategia para obtener puntos de victoria rápidamente?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuándo es mejor vender campos en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas ofrecen mejores beneficios en la fase de invierno?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué estructuras son esenciales para ganar en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué estrategias se recomiendan para jugadores principiantes?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué tan importante es construir una cabaña temprano?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuándo es mejor usar cartas de visitantes?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas permiten realizar varias acciones a la vez?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué edificios deben construirse primero para maximizar la producción?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué estrategias funcionan mejor con cuatro jugadores?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si un jugador entrena a un trabajador tarde?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué pasa si no hay espacio para almacenar uvas?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Se pueden combinar uvas de diferentes campos?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué pasa si no se puede cumplir una orden de vino?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué reglas se aplican al usar un trabajador grande?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede si un jugador no puede pagar una deuda?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuándo se obtienen los pagos residuales?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántos trabajadores puede tener un jugador como máximo?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas permiten ganar puntos adicionales?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué pasa si un jugador termina el año con menos de 0 puntos?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Se pueden bloquear acciones a otros jugadores?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si dos jugadores eligen la misma acción?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué acciones permiten ganar bonos en el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede si varios jugadores intentan usar la misma estructura?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Se pueden jugar cartas de visitante varias veces?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas permiten evitar bloqueos?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre cuando un jugador pasa antes que otros?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué beneficios se obtienen al despertar último?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede si un jugador no tiene cartas para jugar?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si se agotan todos los mazos de cartas?
